Etiqueta;Servicio;Respuesta
Certificado afiliacion;Certificados;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_/4,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Declaracion Renta;Certificados;Para_obtener_la_certificacion_tributaria_debes_ingresar_al_siguiente_link:_-----_/5,_ademas_puedes_obtenerla_a_traves_de_nuestra_aplicación_de__Fondo_en_linea-_personas
Descargar certificados;Certificados;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_/6,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Certificacion tributaria;Certificados;Para_obtener_la_certificacion_tributaria_debes_ingresar_al_siguiente_link:_-----_/7,_ademas_puedes_obtenerla_a_traves_de_nuestra_aplicación_de__Fondo_en_linea-_personas
Comunicar asesor;Contacto;Para_hablar_con_nosotros,_puedes_comunicarte_haciendo_clic_en_el_siguiente_enlace:_-----_/8._O_puedes_llamarnos_de_lunes_a_domingo_de_6:00_am_a_10:00_pm_en_Bogotá_al_número_-----._Si_estás_en_otra_ciudad,_puedes_llamar_a_la_línea_gratuita_nacional_-----,_o_al_-----_(desde_celulares_Claro,_Tigo_y_Movistar).
Horarios de atencion;Contacto;Los_horarios_de_atención_al_público_puedes_encontrarlos_en_el_siguiente_link_-----_/9,_o_en_nuestra_app_'FNA_Móvil_Ágil'._Descárgala_en_tiendas_App_Store_o_Google_Play.
Oficinas;Contacto;En_el_FNA_tenemos_diferentes_puntos_de_atención_en_todo_el_país._Para_consultar_el_más_cercano_a_ti,_ingresa_a:_-----_¨1,_o_descarga_la_App_'FNA_Móvil_Ágil',_allí_también_puedes_obtener_la_información._u__¡Te_esperamos!
Pico y Cedula;Contacto;Consulta_en_el_siguiente_enlace_https://bit.ly/2UXoY5y_¨2_las_novedades_en_la_atención_de_nuestros_puntos_en_Bogotá_y_del_resto_del_país.
Turnos - Citas;Contacto;Pensando_en_tu_comodidad,_establecimos_el_sistema_de_agendamiento_de_turnos_para_que_programes_tu_cita_en_nuestras_oficinas._u_Para_mayor_información_ingresa_a_-----_¨3._u_Es_importante_que_tengas_en_cuenta_ingresar_a_través_de_Google_Chrome,_Mozzilla_Firefox_o_Safari_para_obtener_una_mejor_experiencia.__u_La_solicitud_de_turnos_también_la_puede_realizar_a_través_del_App_FNA_Movil_Agil
Actualizacion datos;Virtual;Para_actualizar_tus_datos_ingresa_a_Fondo_en_Línea-Personas_con_tu_usuario_y_clave_en_el_siguiente_link:_-----_¨4._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Consulta saldo;Virtual;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_¨5,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Pagos en linea;Virtual;Puedes_realizar_el_pago_de_tus_obligaciones_o_cuota_de_ahorro_con_el_FNA_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_¨6,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Consulta puntaje;Virtual;Para_consultar_el_puntaje_de_tus_productos_en_el_FNA_puedes_hacerlo__ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_¨7._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Quiero afiliarme;Virtual;Todo_el_proceso_de_Afiliaciones_digitales_puedes_encontrarlo_en_el_siguiente_link:_-----_¨8
Solicitud formulario;Virtual;Si_deseas_conocer_los_formularios_que_el_FNA_tiene_a_disposición_para_tus_trámites,_dirígete_al_siguiente_link:_-----_¨9
Simulador credito;Virtual;Para_que_tengas_una_idea_cercana_de_cual_sería_el_valor_del_crédito_para_vivienda_que_el_FNA_podría_aprobarte,_por_favor_ingresa_al_siguiente_link:_-----_'1.
Factura de pago;Virtual;Ingresa_a_Fondo_en_Línea-Personas_con_tu_usuario_y_clave_en_el_siguiente_enlace:_-----_'2,_y_descarga_la_factura._También_la_puedes_obtener_en_nuestra_app_'FNA_Móvil_Ágil´.__Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Descargar extracto;Virtual;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_'3,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Informacion proyectos de vivienda;Proyectos de vivienda;Conoce_los_proyectos_de_vivienda_en_todo_el_país_en_el_siguiente_link:_-----_'4.
Informacion feria virtual;Proyectos de vivienda;Estamos_preparandonos_para_la_proxima_feria_virtual,_por_lo_pronto,_acá_puedes_encontrar_toda_la_información_de_productos_disponibles_en_nuestro_portal_-----_'5.
Programa semillero propietarios;Otros;El_plan_Semillero_de_Propietarios_es_un_programa_del_Ministerio_de_Vivienda_para_adquisición_de_vivienda_a_través_de_leasing._Para_mayor_información_sobre_requisitos_y_proceso_de_postulación_consulta_el_siguiente_link:_-----_'6.
Programa ahorra tu arriendo;Otros;Actualmente,_el_programa_no_se_encuentra_vigente._Te_ofrecemos_otras_modalidades_de_crédito_en_el_siguiente_link:_-----_'7.
Info sobre tramite;Otros;Con_tu_usuario_y_clave_puedes_conocer_el_estado_de_tus_trámites_de_crédito,_Leasing_y_retiros_a_través_de_Fondo_en_Línea-Personas_o_de_la_App_'FNA_Móvil_Ágil'._u_Si_tu_trámite_es_de_afilación,_por_favor_comunícate_con_nuestras_líneas_de_atención_o_dirígete_al_punto_de_atención_más_cercano._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad._6
Quiero casa-vivienda;Otros;Consulta_el_proceso_y_la_documentación_para_presentar_la_solicitud_de_crédito_en_el_siguiente_link_-----_'8.
Quiero vender casa;Otros;En_este_momento_el_FNA_no_cuenta_con_programas_para_compra_de_bienes_inmuebles._7
Info seguro desempleo;Otros;Para_mayor_información_del_seguro_de_desempleo_visita_este_link:_-----_'9.
Info subsidio vivienda;Otros;"Para_que_conozcas_toda_la_información_de_los_subisidios_que_el_Gobierno_Nacional_otorga_como_ayuda_para_la_adquisición_de_vivienda,_consulta_el_siguiente_link:_-----_""1."
Info derecho de peticion;Otros;"Escuchamos_tus_inquietudes_en_el_siguiente_link_-----_""2."
Acerca de centrales de riesgo;Otros;La_información_acerca_de_reportes_en_centrales_de_riesgos_puedes_consultarla_a_través_de_los_distintos_proveedores_del_mercado_con_número_de_cédula_y_verificar_tu_estado_actual._8
